,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
78,Nyurba,65,RU,1563030831,93,63.29,118.35,61.66,4.38
79,Bol,24,TD,1563031139,49,13.47,14.72,87.04,10.56
80,Nelson Bay,0,AU,1563031140,60,-32.72,152.14,51.01,12.75
81,Carutapera,88,BR,1563031142,90,-1.2,-46.02,79.84,7.52
82,Deqing,75,CN,1563031143,100,30.54,119.97,73.4,2.24
83,Saldanha,34,PT,1563030658,36,41.42,-6.55,83.8,20.11
84,Poum,75,MK,1563031145,49,41.28,20.71,73.4,8.05
85,Beloha,0,MG,1563031147,57,-25.17,45.06,67.24,11.14
86,Butaritari,83,KI,1563030569,70,3.07,172.79,83.44,11.97
87,Lufilufi,20,WS,1563031149,94,-13.87,-171.6,75.2,5.82
88,Bluff,96,AU,1563030632,64,-23.58,149.07,55.72,8.7
89,Sioux Lookout,20,CA,1563031152,56,50.1,-91.92,69.8,8.05
90,Codrington,18,AU,1563030768,68,-28.95,153.24,53.6,11.41
91,Bilibino,2,RU,1563031154,84,68.06,166.44,53.92,1.97
92,Tessalit,28,ML,1563031155,13,20.2,1.01,107.38,18.21
93,San Patricio,100,PY,1563031157,77,-26.98,-56.83,67.06,3.85
94,Yinchuan,21,CN,1563031158,30,38.48,106.21,75.99,5.99
95,Arraial do Cabo,0,BR,1563030842,57,-22.97,-42.02,77.0,5.82
96,Nishihara,90,JP,1563031160,88,35.74,139.53,75.2,11.41
97,Ayacucho,0,PE,1563031162,58,-13.16,-74.23,59.0,4.7
98,Henties Bay,0,NA,1563031163,93,-22.12,14.28,54.0,3.0
99,Taonan,100,CN,1563031165,72,45.34,122.78,66.99,1.99
100,Hamilton,40,CA,1563030680,73,43.26,-79.87,81.0,14.99
101,Biltine,48,TD,1563031167,23,14.53,20.93,98.38,6.67
102,Saint-Marc,4,HT,1563031169,74,19.1,-72.7,81.46,7.27
103,Vestmannaeyjar,90,IS,1563030835,100,63.44,-20.27,53.6,6.93
104,Mahebourg,75,MU,1563030621,56,-20.41,57.7,71.6,8.05
105,Pevek,93,RU,1563030689,96,69.7,170.27,37.54,3.74
106,Gornopravdinsk,6,RU,1563031174,57,60.06,69.92,80.92,7.0
107,Robertsport,100,LR,1563031175,87,6.75,-11.37,77.68,15.17
108,Bestobe,0,KZ,1563031176,43,52.5,73.1,76.78,13.2
109,San Quintin,34,PH,1563030634,85,17.54,120.52,76.78,2.15
110,Sirsa,0,IN,1563031179,22,29.54,75.04,105.76,9.13
111,Mar del Plata,100,AR,1563031180,63,-46.43,-67.52,45.82,10.09
112,Port Moresby,100,PG,1563031182,88,-9.47,147.16,75.16,10.96
113,Puerto Maldonado,20,PE,1563031183,334,-12.59,-69.19,33.8,1.12
114,Castro,40,CL,1563030772,93,-42.48,-73.76,44.6,11.41
115,Kawalu,23,ID,1563031185,96,-7.38,108.21,63.82,3.98
116,Ahipara,100,NZ,1563030820,84,-35.17,173.16,61.84,30.31
117,Severo-Kurilsk,72,RU,1563031188,96,50.68,156.12,43.66,15.26
118,Vila Franca do Campo,20,PT,1563031189,78,37.72,-25.43,73.4,14.99
119,Iqaluit,40,CA,1563030746,76,63.75,-68.52,53.6,4.7
120,Tiksi,96,RU,1563031129,67,71.64,128.87,45.28,10.6
121,Bud,90,NO,1563031193,71,62.91,6.91,59.0,9.17
122,Bredasdorp,10,ZA,1563030769,68,-34.53,20.04,64.99,8.05
123,Karaton,20,ID,1563031195,69,-6.34,106.1,80.6,3.36
124,Vardo,40,US,1563030947,54,39.62,-77.74,84.0,4.7
125,Chuy,93,UY,1563030677,79,-33.69,-53.46,55.36,10.42
126,Auki,93,NG,1563031199,40,12.18,6.51,89.74,8.34
127,Smithers,75,CA,1563031074,100,54.78,-127.17,51.8,2.24
128,Zabol,0,IR,1563031202,17,31.03,61.49,107.6,18.34
129,Port Elizabeth,40,US,1563031203,61,39.31,-74.98,84.99,5.99
130,Salalah,90,OM,1563030656,88,17.01,54.1,80.6,10.29
131,Dikson,77,RU,1563031205,93,73.51,80.55,33.04,5.53
132,Caluquembe,0,AO,1563031207,14,-13.78,14.68,80.38,4.74
133,Karimnagar,100,IN,1563031208,82,18.43,79.13,76.6,9.28
134,Saint-Pierre,90,FR,1563031209,49,48.95,4.24,78.01,11.41
135,Hermanus,0,ZA,1563030666,72,-34.42,19.24,66.0,1.99
136,Maragogi,21,BR,1563031138,74,-9.01,-35.22,79.48,8.48
137,Imperia,20,IT,1563031213,65,43.88,8.02,89.6,6.93
138,Dawson,1,US,1563031214,58,39.85,-89.46,86.0,10.29
139,El Silencio,79,CO,1563031216,68,3.87,-75.54,63.82,3.67
140,Yuksekova,0,TR,1563031213,22,37.57,44.29,86.0,11.41
141,Hofn,99,IS,1563031218,93,64.25,-15.21,44.38,4.99
142,Les Cayes,1,HT,1563031219,75,18.19,-73.75,82.54,17.36
143,Kattivakkam,40,IN,1563031221,62,13.22,80.32,87.8,11.41
144,Erzin,40,TR,1563031222,51,36.95,36.2,82.4,8.05
145,Ancud,40,CL,1563030571,93,-41.87,-73.83,44.6,11.41
146,Georgetown,75,GY,1563030468,79,6.8,-58.16,84.2,11.41
147,Qaanaaq,5,GL,1563030700,54,77.48,-69.36,47.44,11.74
148,Pimentel,26,BR,1563031227,81,-3.7,-45.5,81.1,6.44
149,Ilulissat,40,GL,1563030631,61,69.22,-51.1,50.0,5.82
150,Fastovetskaya,81,RU,1563031229,71,45.92,40.15,69.94,8.05
151,Cockburn Town,0,TC,1563031231,77,21.46,-71.14,82.36,16.15
152,Lasa,40,CY,1563031232,69,34.92,32.53,82.4,13.87
153,Sinjai,37,ID,1563031233,98,-5.12,120.25,64.9,3.42
154,Bowen,54,AU,1563031234,87,-20.01,148.25,61.0,3.36
155,Puerto Baquerizo Moreno,75,EC,1563031236,88,-0.9,-89.6,71.6,13.87
156,Atuona,8,PF,1563031237,79,-9.8,-139.03,79.3,12.28
157,Antsohihy,61,MG,1563031238,57,-14.88,47.99,81.1,6.69
158,Te Anau,100,NZ,1563031239,95,-45.41,167.72,44.92,9.17
159,Isangel,88,VU,1563030572,78,-19.55,169.27,74.26,7.25
160,Nouadhibou,0,MR,1563031097,61,20.93,-17.03,78.8,18.34
161,Velikiy Ustyug,40,RU,1563031243,54,60.76,46.3,64.0,2.59
162,Norman Wells,40,CA,1563030678,76,65.28,-126.83,51.8,4.7
163,Puerto Ayora,20,EC,1563030655,73,-0.74,-90.35,73.4,8.05
164,Along,100,IN,1563031247,100,28.17,94.8,59.5,1.97
165,Mount Pleasant,1,US,1563030976,74,33.16,-94.97,87.01,4.7
166,Severo-Yeniseyskiy,100,RU,1563031249,89,60.37,93.04,61.48,10.51
167,Sao Jose da Coroa Grande,21,BR,1563031251,74,-8.9,-35.15,79.48,8.48
168,Cape Canaveral,1,US,1563031028,88,28.41,-80.6,88.0,6.93
169,Upernavik,100,GL,1563030635,80,72.79,-56.15,45.64,9.13
170,Constitucion,40,MX,1563031254,72,23.99,-104.67,68.0,8.93
171,Coahuayana,83,MX,1563031256,90,18.62,-100.35,74.26,0.83
172,Kaele,40,CM,1563031257,59,10.11,14.45,89.6,4.7
173,Bethel,90,US,1563030973,93,60.79,-161.76,57.2,3.36
174,Chapais,90,CA,1563031259,77,49.78,-74.86,66.2,8.05
175,Nome,90,US,1563030974,88,30.04,-94.42,86.0,8.05
176,Gidam,100,IN,1563031262,96,18.98,81.4,74.8,3.87
177,Tual,77,ID,1563031263,78,-5.67,132.75,77.14,18.86
178,Chara,20,GR,1563031264,42,39.42,22.43,86.0,11.41
179,Esperance,92,AU,1563031266,87,-33.86,121.89,48.2,4.7
180,Richards Bay,0,ZA,1563031267,76,-28.77,32.06,71.38,24.7
181,Kikwit,95,CD,1563031268,63,-5.04,18.82,77.14,5.66
182,Provideniya,35,RU,1563031270,67,64.42,-173.23,57.88,3.15
183,Sibolga,0,ID,1563031271,67,1.74,98.78,83.98,1.45
184,Muisne,75,EC,1563031272,83,0.61,-80.02,78.8,9.17
185,Williams Lake,75,CA,1563031273,76,52.13,-122.14,57.2,1.21
186,Saint George,20,GR,1563030690,51,39.45,22.34,87.8,13.87
187,Bereda,40,ES,1563031276,78,43.27,-7.54,71.6,8.05
188,Arys,0,KZ,1563031277,20,42.43,68.8,95.0,6.71
189,Altamira,75,BR,1563031203,74,-3.2,-52.21,84.2,8.05
190,Cidreira,91,BR,1563030763,85,-30.17,-50.22,65.62,6.85
191,Greenville,75,US,1563031281,70,34.85,-82.4,88.0,5.82
192,Jasper,20,US,1563031282,62,33.83,-87.28,87.8,6.67
193,Meulaboh,97,ID,1563031283,76,4.14,96.13,83.62,7.52
194,Tautira,0,PF,1563031285,83,-17.73,-149.15,73.4,4.7
195,Port Augusta,0,AU,1563031286,93,-32.49,137.76,41.0,5.82
196,Sorong,100,ID,1563031287,85,-0.86,131.25,73.36,8.34
197,Kalmunai,91,LK,1563031289,84,7.42,81.82,78.76,2.8
198,Esna,75,RO,1563031290,72,45.2,27.57,66.2,11.41
199,Dong Hoi,100,VN,1563031291,71,17.48,106.6,82.36,5.06
200,Dakar,0,SN,1563031219,70,14.69,-17.45,87.8,6.93
201,Mercedes,0,UY,1563031294,81,-33.25,-58.03,55.9,7.54
202,Mankono,100,CI,1563031295,69,8.06,-6.19,83.44,3.4
203,Waiuku,100,NZ,1563031296,93,-37.25,174.73,57.0,8.05
204,Togur,100,RU,1563031298,74,58.36,82.83,71.2,10.25
205,Bolgatanga,74,GH,1563031299,46,10.79,-0.85,91.0,9.84
206,Dunedin,100,NZ,1563031129,74,-45.87,170.5,51.01,14.0
207,Straumen,75,NO,1563031302,67,63.87,11.3,61.0,11.41
208,Roebourne,0,AU,1563031303,20,-20.77,117.15,68.86,13.56
209,Shchors,62,UA,1563031304,53,51.82,31.95,66.88,3.51
210,Benguela,20,AO,1563031305,64,-12.58,13.4,75.2,4.7
211,Longyearbyen,75,NO,1563031182,80,78.22,15.63,41.0,8.05
212,Ribnitz-Damgarten,40,DE,1563031308,41,54.24,12.43,78.01,12.75
213,Wawa,74,NG,1563031309,57,9.9,4.41,86.86,4.7
214,Tutoia,0,BR,1563031310,57,-2.76,-42.27,86.68,8.14
215,Waddan,0,LY,1563031312,12,29.16,16.14,105.58,11.97
216,Waingapu,4,ID,1563031313,88,-9.65,120.26,65.8,9.13
217,Fairview,90,CA,1563031314,93,56.07,-118.38,59.0,3.36
218,Mount Gambier,75,AU,1563030473,87,-37.83,140.78,46.4,10.29
219,Luderitz,0,NA,1563031107,52,-26.65,15.16,69.8,9.17
220,Matara,53,BI,1563031304,79,-3.48,29.48,57.16,3.85
221,Faanui,0,PF,1563031319,73,-16.48,-151.75,77.5,6.08
222,Namtsy,0,RU,1563031321,77,62.72,129.66,69.8,2.24
223,Souillac,0,FR,1563031322,33,45.6,-0.6,87.01,9.17
224,Havre-Saint-Pierre,90,CA,1563031323,100,50.23,-63.6,55.4,13.87
225,Sitka,0,US,1563031324,65,37.17,-99.65,79.0,5.01
226,Mamallapuram,40,IN,1563031326,62,12.63,80.17,87.8,11.41
227,Clyde River,40,CA,1563031327,66,70.47,-68.59,53.6,12.75
228,Mandalgovi,0,MN,1563031328,42,45.76,106.27,71.38,10.18
229,Kaputa,0,ZM,1563031330,25,-8.47,29.66,81.46,4.83
230,Jaffna,100,LK,1563031331,83,9.67,80.01,83.08,24.87
231,Rawson,100,AR,1563030794,49,-43.3,-65.11,50.5,18.84
232,Oranjestad,75,AW,1563031046,70,12.52,-70.03,86.0,21.92
233,Tuatapere,100,NZ,1563031335,97,-46.13,167.69,46.0,1.01
234,Rioja,44,PE,1563031336,94,-6.06,-77.17,55.0,4.16
235,Nanortalik,3,GL,1563031337,77,60.14,-45.24,45.82,7.4
236,Arlit,28,NE,1563031339,19,18.74,7.39,101.44,8.7
237,Darab,13,IR,1563031340,28,28.75,54.55,82.72,13.09
238,Natitingou,75,BJ,1563031341,54,10.31,1.38,84.2,8.05
239,Ust-Nera,0,RU,1563031343,68,64.57,143.24,57.16,2.75
240,Monrovia,75,LR,1563031344,94,6.33,-10.8,77.0,16.49
241,Apache Junction,1,US,1563031345,22,33.41,-111.55,98.01,3.36
242,Berdigestyakh,100,RU,1563031346,71,62.1,126.7,68.5,1.41
243,Panguna,94,PG,1563031348,80,-6.32,155.48,81.1,5.32
244,Beringovskiy,95,RU,1563031349,71,63.05,179.32,61.66,2.3
245,Adrar,0,DZ,1563031350,4,27.87,-0.29,118.4,5.82
246,Graham,40,US,1563031352,65,33.11,-98.59,82.99,3.36
247,Young,0,UY,1563031353,75,-32.7,-57.63,55.99,4.0
248,Iquique,90,CL,1563031354,72,-20.22,-70.14,59.0,1.12
249,Dibulla,20,CO,1563031356,62,11.27,-73.31,87.8,13.87
250,Atambua,31,ID,1563031357,76,-9.11,124.89,76.42,17.52
251,Tera,40,CY,1563031358,69,34.97,32.42,82.4,13.87
252,Tarakan,100,ID,1563031359,78,3.3,117.63,80.38,6.64
253,Kaeo,100,NZ,1563031361,87,-35.1,173.78,61.0,8.01
254,Aswan,0,EG,1563031347,8,24.09,32.9,111.2,5.82
255,Totness,20,US,1563031364,66,33.74,-80.8,91.0,8.05
256,Bago,90,MM,1563031365,88,17.34,96.48,77.0,3.36
257,Kuruman,0,ZA,1563031366,21,-27.46,23.43,69.01,8.63
258,Sao Joao da Barra,0,BR,1563031367,47,-21.64,-41.05,80.6,2.24
259,Tunceli,75,TR,1563031369,20,39.11,39.55,86.0,6.93
260,Mudanya,20,TR,1563031282,32,40.38,28.88,81.0,9.17
261,Lebu,100,ET,1563031371,83,8.96,38.73,61.48,2.86
262,Klaksvik,70,FO,1563031373,93,62.23,-6.59,57.2,9.17
263,Thompson,90,CA,1563031374,68,55.74,-97.86,66.2,2.24
264,Lompoc,90,US,1563031295,100,34.64,-120.46,62.6,3.36
265,Sedro-Woolley,90,US,1563031376,87,48.5,-122.23,64.0,5.82
266,Dabakala,92,CI,1563031378,64,8.36,-4.43,83.08,5.03
267,Ternate,75,PH,1563031289,100,14.29,120.72,78.01,4.7
268,Strelka,2,RU,1563031380,54,58.08,93.03,66.34,4.05
269,Sobolevo,84,RU,1563031381,65,54.43,31.9,61.48,2.8
270,Yatou,75,CM,1563031383,74,3.63,9.81,84.2,4.7
271,Aquiraz,40,BR,1563031384,74,-3.9,-38.39,86.0,16.11
272,Buala,98,SB,1563031385,77,-8.15,159.59,79.84,5.19
273,Itoman,20,JP,1563031387,83,26.12,127.67,84.2,14.99
274,Namibe,89,AO,1563031388,84,-15.19,12.15,66.52,8.3
275,Anadyr,0,RU,1563031389,77,64.73,177.51,66.0,4.47
276,Buchanan,75,LR,1563031391,94,5.88,-10.05,77.0,20.67
277,Hovd,75,NO,1563031392,67,63.83,10.7,61.0,12.75
278,Saint-Joseph,0,FR,1563031286,62,43.56,6.97,96.8,6.93
279,Eyl,58,SO,1563031394,35,7.98,49.82,90.64,19.13
280,Bundaberg,91,AU,1563031396,44,-24.87,152.35,60.01,8.05
281,Caravelas,2,BR,1563031397,61,-17.73,-39.27,77.68,5.03
282,Kavieng,89,PG,1563031398,82,-2.57,150.8,82.0,12.75
283,Kodiak,1,US,1563031298,65,39.95,-94.76,84.0,3.36
284,Vestmanna,74,FO,1563031401,93,62.16,-7.17,57.2,9.17
285,Lokoja,0,NG,1563031402,63,7.8,6.74,84.88,3.94
286,Changji,0,CN,1563031403,81,32.07,116.17,73.0,6.49
287,Hasaki,90,JP,1563031405,94,35.73,140.83,73.4,4.7
288,Coquimbo,0,CL,1563031406,50,-29.95,-71.34,51.8,9.17
289,Laguna,40,BZ,1563031407,70,16.17,-88.94,87.8,6.93
290,Cap Malheureux,75,MU,1563031408,56,-19.98,57.61,71.6,6.93
291,Bonavista,72,CA,1563031410,72,48.65,-53.11,55.54,9.24
292,Santa Helena de Goias,0,BR,1563031411,37,-17.81,-50.6,81.1,6.04
293,Ostrovnoy,2,RU,1563031412,64,68.05,39.51,48.88,7.92
294,Aasiaat,100,GL,1563031414,89,68.71,-52.87,41.5,7.67
295,Zhigansk,83,RU,1563031415,67,66.77,123.37,55.0,10.56
296,Jamame,44,SO,1563031416,66,0.07,42.75,80.2,15.52
297,Daru,100,PG,1563031417,90,-9.07,143.21,72.82,8.08
298,Mamit,100,IN,1563031419,98,23.92,92.49,74.8,6.76
299,Traismauer,96,AT,1563031420,77,48.35,15.74,69.01,18.34
300,Kaitangata,100,NZ,1563031421,81,-46.28,169.85,48.99,4.0
301,Moa,86,CU,1563031423,64,20.66,-74.95,81.82,10.47
302,Hervey Bay,59,AU,1563031276,44,-25.3,152.85,60.01,8.05
303,Grindavik,75,IS,1563031425,87,63.84,-22.43,57.2,12.75
304,Sarkand,51,KZ,1563031426,23,45.41,79.91,76.78,6.64
305,Westport,1,US,1563031428,65,41.14,-73.36,82.0,11.41
306,Nemuro,100,JP,1563031429,96,43.32,145.57,54.82,15.59
307,Tura,100,RU,1563031430,86,64.27,100.22,58.6,1.66
308,Bushehr,0,IR,1563031432,49,28.97,50.84,96.8,6.93
309,Lethem,29,GY,1563031143,60,3.38,-59.8,85.96,11.27
310,Colac,83,AU,1563031434,98,-38.34,143.59,42.01,1.99
311,Bulungu,8,CD,1563031435,63,-4.54,18.6,80.02,12.01
312,Narsaq,20,GL,1563031190,51,60.91,-46.05,60.8,8.05
313,Eureka,90,US,1563031268,93,40.8,-124.16,60.01,3.36
314,Lysyye Gory,89,RU,1563031439,60,51.55,44.84,73.0,3.91
315,Bam,64,IR,1563031247,12,29.11,58.36,82.72,9.6
316,Golspie,98,GB,1563031442,77,57.97,-3.98,64.0,16.11
317,Torbay,75,CA,1563031183,67,47.66,-52.73,66.0,8.05
318,Marquette,40,US,1563031444,53,46.54,-87.4,73.0,17.22
319,Azul,0,AR,1563031446,97,-36.78,-59.86,44.01,2.86
320,Bhadasar,0,IN,1563031447,33,28.3,74.31,100.72,25.12
321,Soyo,20,AO,1563031154,65,-6.13,12.37,80.6,10.29
322,Manta,100,RO,1563031449,64,45.1,24.1,69.76,5.19
323,Sinnamary,8,GF,1563031451,78,5.38,-52.96,80.2,13.87
324,Hithadhoo,2,MV,1563031452,77,-0.6,73.08,84.52,13.18
325,Sabha,0,LY,1563031453,6,27.03,14.43,109.54,17.9
326,Olkhovatka,56,RU,1563031454,66,50.28,39.3,69.04,6.49
327,Cabo San Lucas,0,MX,1563031245,72,22.89,-109.91,84.0,6.4
328,Vila Velha,40,BR,1563031457,74,-3.71,-38.6,86.0,16.11
329,Manggar,0,ID,1563031459,90,-2.88,108.27,74.98,3.96
330,Omsukchan,93,RU,1563031460,65,62.53,155.8,58.42,1.61
331,Eirunepe,5,BR,1563031461,57,-6.66,-69.87,86.68,2.37
332,Broome,75,GB,1563031463,72,52.47,1.45,72.0,8.05
333,Aleksandrovskiy Zavod,100,RU,1563031464,73,50.92,117.94,62.92,7.67
334,Grand-Santi,80,GF,1563031465,57,4.27,-54.38,85.78,3.51
335,Biak,41,ID,1563031466,95,-0.91,122.88,59.14,5.88
336,Cocobeach,75,GA,1563031468,78,1.01,9.58,80.6,6.93
337,Whitianga,100,NZ,1563031469,97,-36.83,175.7,57.0,5.99
338,Port-Gentil,20,GA,1563031470,69,-0.72,8.78,82.4,11.41
339,Qasigiannguit,40,GL,1563031472,57,68.82,-51.19,51.8,4.7
340,Leshukonskoye,51,RU,1563031473,35,64.9,45.76,67.24,2.01
341,Knysna,20,ZA,1563031419,87,-34.04,23.05,59.0,4.7
342,Kangaatsiaq,100,GL,1563031475,87,68.31,-53.46,42.94,6.24
343,Rocha,49,UY,1563031477,81,-34.48,-54.34,54.28,10.69
344,Williston,1,US,1563031478,73,48.15,-103.62,77.0,3.36
345,Hagere Hiywet,100,ET,1563031479,97,8.98,37.85,57.52,3.18
346,Flinders,0,AU,1563031481,49,-34.58,150.85,50.0,18.34
347,Morro Bay,90,US,1563031482,100,35.37,-120.85,68.0,3.0
348,Taoudenni,43,ML,1563031483,4,22.68,-3.98,117.28,19.98
349,San Francisco,20,CO,1563031371,64,1.17,-76.88,68.0,4.34
350,Saravena,100,CO,1563031486,88,6.96,-71.88,74.08,2.86
351,Beauvais,90,FR,1563031487,53,49.44,2.09,80.01,13.87
352,Araguaina,0,BR,1563031488,35,-7.19,-48.21,91.54,9.82
353,Lac du Bonnet,0,CA,1563031489,65,50.25,-96.06,73.0,1.99
354,Jhang,20,PK,1563031491,70,33.67,72.7,84.99,11.41
355,Beyneu,17,KZ,1563031492,26,45.32,55.19,99.28,15.57
356,Moerai,15,PF,1563031493,82,-22.43,-151.33,70.84,8.66
357,Airai,55,TL,1563031495,83,-8.93,125.41,68.5,5.46
358,Karratha,0,AU,1563031496,20,-20.74,116.85,68.68,12.26
359,Rundu,0,NA,1563031497,11,-17.91,19.77,80.6,9.17
360,Khatanga,23,RU,1563031498,62,71.98,102.47,54.64,3.96
361,Labytnangi,100,RU,1563031500,63,66.66,66.39,61.66,7.29
362,Neuquen,75,AR,1563031363,93,-38.95,-68.06,37.4,4.7
363,Barentu,100,ER,1563031502,44,15.11,37.59,86.68,9.75
364,Rio Gallegos,75,AR,1563031373,87,-51.62,-69.22,42.8,10.29
365,Carnarvon,0,ZA,1563031491,16,-30.97,22.13,66.52,11.23
366,Gizo,0,IL,1563031348,54,31.8,34.94,86.0,13.87
367,Egvekinot,100,RU,1563031507,73,66.32,-179.17,62.38,1.81
368,Volchanets,100,RU,1563031508,99,42.91,132.75,59.5,2.59
369,Cuamba,0,MZ,1563031510,41,-14.8,36.54,72.1,8.14
370,San Carlos del Zulia,95,VE,1563031511,69,9.0,-71.91,84.7,5.37
371,Shelburne,90,CA,1563031512,54,44.08,-80.2,81.0,5.82
372,Roald,75,NO,1563031514,71,62.58,6.12,60.01,11.41
373,Kirakira,75,SB,1563031515,85,-10.46,161.92,78.22,4.92
374,Half Moon Bay,90,US,1563031516,100,37.46,-122.43,64.99,3.36
